param,value,fold_mean,fold_median,fold_min,fold_max,fold_pos,total_3day,sharpe,max_dd
PAIR_TILT_DIVISOR,2.5,366415.0,357427.0,357427,382204,5,1117221,28.2628,30766
PAIR_TILT_DIVISOR,3.0,367138.6,356853.0,356853,384661,5,1121987,24.9448,30960
PAIR_TILT_DIVISOR,2.0,370648.4,364290.0,364290,382422,5,1124662,39.6873,30546
PAIR_TILT_DIVISOR,4.0,366449.4,356588.0,356588,384451,5,1119071,25.5652,29926
PAIR_TILT_DIVISOR,5.0,364365.4,355543.0,355543,380290,5,1110742,28.4467,29943
PAIR_TILT_DIVISOR,6.0,362073.0,350632.0,350632,383266,5,1109102,21.7486,29926
PAIR_TILT_CLIP,4.0,290878.4,314031.0,250057,314031,5,826330,8.1087,21018
PAIR_TILT_CLIP,5.0,322609.2,341418.0,290876,341418,5,930208,11.3266,19536
PAIR_TILT_CLIP,6.0,337520.8,347788.0,304567,347788,5,992028,14.3946,19678
PAIR_TILT_CLIP,7.0,356019.6,355766.0,347657,365143,5,1068566,40.7043,25960
PAIR_TILT_CLIP,10.0,368031.8,360391.0,360391,382466,5,1119376,32.6672,30621
PAIR_TILT_CLIP,8.0,365313.2,358446.0,358446,382105,5,1109674,31.2192,29478
INV_SKEW_BETA,0.1,369968.6,362668.0,362668,382526,5,1124506,35.1658,30616
INV_SKEW_BETA,0.2,370091.2,362504.0,362504,386156,5,1125448,31.4971,30596
INV_SKEW_BETA,0.15,370645.0,362905.0,362905,385568,5,1127416,32.2501,31208
INV_SKEW_BETA,0.25,367170.2,359148.0,359148,381248,5,1117556,31.682,30312
QUOTE_BASE_SIZE_CAP,4.0,370496.4,363944.0,363944,383150,5,1124593,37.9781,30306
INV_SKEW_BETA,0.3,367533.2,360824.0,360824,377900,5,1116019,38.3967,30434
QUOTE_BASE_SIZE_CAP,6.0,370999.2,363619.0,363619,383694,5,1127758,34.8857,30546
QUOTE_BASE_SIZE_CAP,10.0,370999.2,363619.0,363619,383694,5,1127758,34.8857,30546
QUOTE_BASE_SIZE_CAP,8.0,370999.2,363619.0,363619,383694,5,1127758,34.8857,30546
fair_quote_gate,0.0,369942.2,362108.0,362108,382042,5,1125496,33.1617,31463
fair_quote_gate,0.25,369862.4,362338.0,362338,381166,5,1124636,34.5179,31564
fair_quote_gate,0.1,370797.0,363563.0,363563,382126,5,1126858,35.9369,31138
fair_quote_gate,0.5,369499.0,362482.0,362482,381122,5,1122530,36.7298,30616
fair_quote_gate,0.75,370642.6,364273.0,364273,383714,5,1124666,38.0859,30526
