SNACKPACK_SKEW_DIVISOR,SNACKPACK_SKEW_CLIP,SNACKPACK_BIG_SKEW,fold_mean,fold_median,fold_min,fold_pos,total_3day,sharpe,max_dd
5,3,3.5,403297.6,409582.0,375868,5,1197324,19.7983,21018
3,3,5.0,403252.0,409582.0,375640,5,1197096,19.6663,21018
3,3,3.5,403252.0,409582.0,375640,5,1197096,19.6663,21018
5,3,5.0,403297.6,409582.0,375868,5,1197324,19.7983,21018
8,3,5.0,402827.0,408774.0,375822,5,1196587,19.9254,21564
8,3,3.5,402827.0,408774.0,375822,5,1196587,19.9254,21564
3,2,3.5,402207.8,407876.0,376758,5,1195288,21.172,21018
3,2,5.0,402207.8,407876.0,376758,5,1195288,21.172,21018
5,2,3.5,402207.8,407876.0,376758,5,1195288,21.172,21018
5,2,5.0,402207.8,407876.0,376758,5,1195288,21.172,21018
8,2,5.0,401773.0,407058.0,376758,5,1194749,21.2826,21564
8,2,3.5,401773.0,407058.0,376758,5,1194749,21.2826,21564
8,5,5.0,367978.4,367716.0,364036,5,1104460,84.5944,25284
8,5,3.5,365757.6,366070.0,360054,5,1096646,69.5703,24364
5,5,5.0,365129.2,365704.0,359520,5,1094236,75.6897,24307
5,5,3.5,362034.4,363578.0,354448,5,1083016,63.081,24692
8,2,2.0,361454.0,363118.0,353478,5,1081034,60.2316,24785
8,3,2.0,361378.4,362952.0,353568,5,1080988,61.0337,24771
8,5,2.0,361291.6,362778.0,353578,5,1080902,61.1826,24771
3,5,5.0,360834.8,362388.0,352912,5,1079398,59.7177,24748
5,2,2.0,357500.4,359202.0,348976,5,1069098,55.186,25518
3,5,3.5,357618.8,359170.0,349420,5,1069754,56.7396,25314
5,3,2.0,357410.4,359004.0,349090,5,1069042,56.0253,25504
5,5,2.0,357324.0,358830.0,349098,5,1068962,56.1081,25504
3,2,2.0,353544.4,354910.0,346636,5,1057902,67.2343,26284
3,3,2.0,353464.0,354734.0,346732,5,1057852,68.2876,26270
3,5,2.0,353377.2,354564.0,346728,5,1057758,68.3152,26270
