label,alpha_map,elapsed_s,F1_pnl,F2_pnl,F3_pnl,F4_pnl,F5_pnl,fold_min,fold_median,fold_mean,total_3day,sharpe_3day,max_dd_3day,OXYGEN_SHAKE_CHOCOLATE_3day,OXYGEN_SHAKE_CHOCOLATE_d2,OXYGEN_SHAKE_CHOCOLATE_d3,OXYGEN_SHAKE_CHOCOLATE_d4,OXYGEN_SHAKE_EVENING_BREATH_3day,OXYGEN_SHAKE_EVENING_BREATH_d2,OXYGEN_SHAKE_EVENING_BREATH_d3,OXYGEN_SHAKE_EVENING_BREATH_d4,ROBOT_IRONING_3day,ROBOT_IRONING_d2,ROBOT_IRONING_d3,ROBOT_IRONING_d4
2b_OXYGEN_SHAKE_CHOCOLATE_a0.5,"{""OXYGEN_SHAKE_CHOCOLATE"": 0.5}",43.5,456258,446200,456258,489823,456258,446200,456258,460959.4,1392280,20.3167,24766,-539,9410,3942,-13891,,,,,,,,
2b_OXYGEN_SHAKE_CHOCOLATE_a1.0,"{""OXYGEN_SHAKE_CHOCOLATE"": 1.0}",38.9,456258,446200,456258,489823,456258,446200,456258,460959.4,1392280,20.3167,24766,-539,9410,3942,-13891,,,,,,,,
2b_OXYGEN_SHAKE_CHOCOLATE_a1.5,"{""OXYGEN_SHAKE_CHOCOLATE"": 1.5}",39.6,456258,446200,456258,489823,456258,446200,456258,460959.4,1392280,20.3167,24766,-539,9410,3942,-13891,,,,,,,,
2b_OXYGEN_SHAKE_CHOCOLATE_a2.0,"{""OXYGEN_SHAKE_CHOCOLATE"": 2.0}",38.9,456258,446200,456258,489823,456258,446200,456258,460959.4,1392280,20.3167,24766,-539,9410,3942,-13891,,,,,,,,
2b_OXYGEN_SHAKE_EVENING_BREATH_a0.5,"{""OXYGEN_SHAKE_EVENING_BREATH"": 0.5}",58.0,456258,446012,456258,489823,456258,446012,456258,460921.8,1392092,20.2485,24766,,,,,20677,1669,7291,11717,,,,
2b_OXYGEN_SHAKE_EVENING_BREATH_a1.0,"{""OXYGEN_SHAKE_EVENING_BREATH"": 1.0}",57.8,454344,446012,454344,489823,454344,446012,454344,459773.4,1390178,19.9177,24766,,,,,18763,1669,5377,11717,,,,
2b_OXYGEN_SHAKE_EVENING_BREATH_a1.5,"{""OXYGEN_SHAKE_EVENING_BREATH"": 1.5}",57.9,454344,445872,454344,489883,454344,445872,454344,459757.4,1390098,19.8428,24766,,,,,18683,1729,5377,11577,,,,
2b_OXYGEN_SHAKE_EVENING_BREATH_a2.0,"{""OXYGEN_SHAKE_EVENING_BREATH"": 2.0}",41.0,453034,445248,453034,489983,453034,445248,453034,458866.6,1388265,19.3627,24452,,,,,16850,1829,4067,10954,,,,
2b_ROBOT_IRONING_a0.5,"{""ROBOT_IRONING"": 0.5}",51.6,456258,446200,456258,489823,456258,446200,456258,460959.4,1392280,20.3167,24766,,,,,,,,,41146,23102,14746,3298
2b_ROBOT_IRONING_a1.0,"{""ROBOT_IRONING"": 1.0}",58.5,456258,446200,456258,489823,456258,446200,456258,460959.4,1392280,20.3167,24766,,,,,,,,,41146,23102,14746,3298
2b_ROBOT_IRONING_a1.5,"{""ROBOT_IRONING"": 1.5}",59.0,456258,446200,456258,489823,456258,446200,456258,460959.4,1392280,20.3167,24766,,,,,,,,,41146,23102,14746,3298
2b_ROBOT_IRONING_a2.0,"{""ROBOT_IRONING"": 2.0}",59.0,456258,446200,456258,489823,456258,446200,456258,460959.4,1392280,20.3167,24766,,,,,,,,,41146,23102,14746,3298
