i,DISHES_LOG_CLIP,DISHES_INV_BETA,MICROCHIP_OVAL_BETA,SLEEP_POD_POLYESTER_BETA,F1_pnl,F2_pnl,F3_pnl,F4_pnl,F5_pnl,fold_min,fold_median,fold_mean,total_3day,sharpe_3day,max_dd_3day
0,9.7507,0.4965,0.4051,0.4176,463992,457739,463992,497185,463992,457739,463992,469380.0,1418916,22.309,25334
1,10.5744,0.4843,0.4507,0.3884,460084,458907,460084,496814,460084,458907,460084,467194.6,1415805,21.8956,25320
2,8.05,0.6764,0.4198,0.4317,459892,458461,459892,496684,459892,458461,459892,466964.2,1415037,21.7697,25348
3,11.0941,0.6353,0.3679,0.3547,461608,457391,461608,495233,461608,457391,461608,467489.6,1414232,22.7314,25552
4,8.6103,0.5161,0.3348,0.3715,463029,456382,463029,494910,463029,456382,463029,468075.8,1414321,22.8907,24960
5,11.9217,0.627,0.4668,0.3569,460772,458403,460772,492615,460772,458403,460772,466666.8,1411790,24.6317,25312
6,11.8431,0.7132,0.3626,0.396,461608,458997,461608,497415,461608,458997,461608,468247.2,1418020,22.0188,25552
7,9.0006,0.593,0.4798,0.4657,459886,459151,459886,496042,459886,459151,459886,466970.2,1415080,22.3658,25512
8,9.5956,0.6121,0.378,0.4017,463338,459126,463338,497328,463338,459126,463338,469293.6,1419792,22.5944,25532
9,9.1853,0.6658,0.3858,0.3421,463696,458188,463696,495172,463696,458188,463696,468889.6,1417056,23.6723,25532
10,10.2521,0.5113,0.3765,0.4366,463530,457739,463530,497175,463530,457739,463530,469100.8,1418444,22.2038,25334
11,8.104,0.5551,0.4673,0.4612,460142,459361,460142,494700,460142,459361,460142,466897.4,1414202,23.3581,25036
12,9.0447,0.6862,0.4096,0.3273,460249,458188,460249,495272,460249,458188,460249,466841.4,1413709,22.611,25532
13,9.922,0.5805,0.3232,0.4758,462679,459482,462679,497321,462679,459482,462679,468968.0,1419482,22.5482,25552
14,8.9312,0.6791,0.4741,0.3603,460580,457924,460580,493896,460580,457924,460580,466712.0,1412400,23.4861,25512
15,10.6672,0.5048,0.3536,0.4154,463422,458183,463422,497167,463422,458183,463422,469123.2,1418772,22.3522,25348
16,11.3845,0.6457,0.4185,0.3207,460441,458358,460441,494107,460441,458358,460441,466757.6,1412906,23.4716,25532
17,11.6731,0.6065,0.4088,0.4093,460084,459514,460084,497489,460084,459514,460084,467451.0,1417087,21.7056,25332
18,8.8214,0.6199,0.389,0.3685,463338,457539,463338,495172,463338,457539,463338,468545.0,1416050,23.2959,25050
19,11.1466,0.5839,0.344,0.3361,463779,458519,463779,495175,463779,458519,463779,469006.2,1417473,23.8389,25552
20,9.3152,0.6189,0.4254,0.445,459892,459105,459892,496192,459892,459105,459892,466994.6,1415189,22.2633,25532
21,8.6409,0.6572,0.3312,0.3462,463029,457572,463029,495114,463029,457572,463029,468354.6,1415715,23.265,25368
22,11.0016,0.6397,0.3555,0.4589,463422,459188,463422,497361,463422,459188,463422,469363.0,1419971,22.6208,25552
23,11.3283,0.6622,0.4559,0.3667,460084,457924,460084,494862,460084,457924,460084,466607.6,1412870,22.7178,25512
24,8.4172,0.7167,0.3407,0.4204,463029,458622,463029,497775,463029,458622,463029,469096.8,1419426,22.0617,25368
25,9.6154,0.5364,0.4454,0.4722,459391,457813,459391,496804,459391,457813,459391,466558.0,1414008,21.3564,25334
26,11.7802,0.4918,0.4141,0.3493,460084,457106,460084,495155,460084,457106,460084,466502.6,1412345,22.2483,25144
27,11.4908,0.489,0.3515,0.3846,463422,458865,463422,497193,463422,458865,463422,469264.8,1419480,22.5986,25158
28,10.9129,0.6299,0.4578,0.427,460084,459912,460084,497018,460084,459912,460084,467436.4,1417014,22.099,25512
29,9.5099,0.5696,0.3596,0.4673,462537,458427,462537,497361,462537,458427,462537,468679.8,1418325,22.1015,25552
30,9.8774,0.5626,0.3905,0.3754,463530,457429,463530,495233,463530,457429,463530,468650.4,1416192,23.2597,25532
31,9.2484,0.6691,0.471,0.3314,460936,458874,460936,493896,460936,458874,460936,467115.6,1413706,23.9794,25512
32,9.4374,0.6998,0.4305,0.4054,459892,459014,459892,496215,459892,459014,459892,466981.0,1415121,22.2198,25532
33,8.3996,0.5418,0.3225,0.4564,463029,459443,463029,497056,463029,459443,463029,469117.2,1419528,22.7946,25064
34,9.7929,0.5867,0.3702,0.3432,461772,458341,461772,495233,461772,458341,461772,467778.0,1415346,23.1477,25552
35,10.4011,0.5322,0.4436,0.4242,460084,458179,460084,496814,460084,458179,460084,467049.0,1415077,21.6603,25334
36,10.5381,0.6032,0.4392,0.4348,460084,459184,460084,497008,460084,459184,460084,467288.8,1416276,21.8738,25532
37,10.8594,0.701,0.3274,0.3621,463029,457378,463029,495201,463029,457378,463029,468333.2,1415608,23.1281,25552
38,10.7984,0.5232,0.338,0.4785,462528,458883,462528,497117,462528,458883,462528,468716.8,1418528,22.4085,25348
39,8.7496,0.7068,0.3969,0.3972,463800,459229,463800,497341,463800,459229,463800,469594.0,1420370,22.7509,25348
40,11.5811,0.597,0.4631,0.3258,460441,459353,460441,494862,460441,459353,460441,467107.6,1414656,23.3507,25312
41,8.2604,0.6508,0.4354,0.441,459892,459208,459892,496192,459892,459208,459892,467015.2,1415292,22.2972,25348
42,8.2238,0.5755,0.4531,0.4447,459892,460022,459892,496947,459892,459892,459892,467329.0,1416861,22.1147,25036
43,8.4829,0.5579,0.4014,0.412,463800,459336,463800,497328,463800,459336,463800,469612.8,1420464,22.8006,25050
44,10.3848,0.503,0.3478,0.3803,463422,458361,463422,494971,463422,458361,463422,468719.6,1416754,23.8056,25348
45,10.1498,0.6873,0.3725,0.336,461772,458150,461772,495172,461772,458150,461772,467727.6,1415094,23.1117,25552
46,10.0774,0.6951,0.4286,0.4484,459892,459014,459892,496279,459892,459014,459892,466993.8,1415185,22.1822,25532
47,10.1884,0.5193,0.4334,0.4533,460084,457718,460084,496049,460084,457718,460084,466803.8,1413851,21.9406,25334
48,11.217,0.549,0.3946,0.3813,463992,459193,463992,495029,463992,459193,463992,469239.6,1418214,24.3012,25532
49,11.7533,0.5443,0.3826,0.3932,463530,459481,463530,497211,463530,459481,463530,469456.4,1420222,22.8549,25332
